language,extracted,enough information,target,ChatGPT,ChatGPT target,ChatGPT mistake,disrepancy,comment
O'odham," LESSON 10
Word Order
VOCABULARY
 NOUNS
Singular Plural
daikud chairdadaikud chairs
Venga item of clothingVenga clothes
şa'i grass, hay şa'i grasses, hay
tlo:gi trucktlolgi trucks
SIMPLE INTRANSITIVE A N D TRANSITIVE SENTENCES
At various points in these lessons we have discussed word order
ossibilities. In Lesson 1 we mentioned the fact that subject and verb
in simple intransitive sentences can occur either in the order subject-
verb or the order verb-subject.
 1. a. Hegai ceoj 'o ko:s.
",0,No dominant order,"Based on the given paragraph, it is not clear which dominant word order the language described in the grammar has. Therefore, the answer is ""Not enough information"".",Not enough information,0,0,упоминание порядка слов
O'odham,"SPECIFIER POSTPOSITION OBJECT
In (4c) only the object of the postposition has been moved to the end
of the sentence. In (4d) both the object and the postposition have
been moved to the end, but they occur in the reverse order from that
found in (4b). Note also that when the object follows the postposition
(examples 4c and 4d) the determiner g is present.
The following are examples of the four word-order possibilities for
postpositional phrases discussed above.
5. a.",0,No dominant order,"Unfortunately, I cannot accurately determine the dominant word order of the language described in the given paragraph. The paragraph discusses the four word-order possibilities for postpositional phrases and does not provide enough information about the overall word order of the language.",Not enough information,0,0,порядок существительного и предлога
O'odham," SUBJECTAUX VERBOBJECT
In sentences (1) and (2) the order of these elements is: subject, aux,
verb, direct object. But, except for the fact that the aux must be
second, the order of elements in a simple transitive sentence does not
have to be like that shown in (1) and (2); in fact, any possible order
of subject, object and verb is a good Papago sentence. Sentences (3a)
through (3e) give all the other possible word orders for sentence (1).
 3. a. Huhu'id 'o g ban g cutwi.^
VERB AUX SUBJECT OBJECT
b.",1,No dominant order,"Based on the given information, the language described in the grammar does not have a dominant word order. Therefore, the correct option is ""No dominant order"".",No dominant order,0,0,
Pipil," ""The man killed the cow.""
 The orders:
 Subject-Verb-Object (SVO)
 Verb-Subject-Object (VSO)
also occur, but with less frequency. The order SVO is used speci-
fically to place greater emphasis on the subject. The VSO order is
rare except when the object is ""heavy"", i.e. when it contains a
relative clause or a coordinate noun phrase. In this way Pipil
conforms to the word-order universal that has been postulated for
VOS languages that a ""heavy"" object is not permitted and is usually
shifted to the end, giving VSO with heavy objects as a very common
corollary order in basically VOS languages (cf, Campbell and Mithun
1981).
",1,No dominant order,,,0,1,
Pipil,"""The little boy rejoiced.""
The most common neutral order for transitive sentences is:
Verb-Object-Subject (VOS)
VOS order is taken as basic because it occurs with the greatest
frequency in texts and conversation, and it is the only order for
transitive sentences which i s neutral with respect to focus and
emphasis (see below).",0,No dominant order,,,0,1,
Pipil,"""His wife killed the turkey.""
 Intransitive sentences, on the other hand, rarely deviate from
the basic Verb-Subject (VS) order. The combination Verb-Object
(VO) is found often in transitive sentences in which the subject is
pronominal and hence signaled by a verb prefix.",,No dominant order,,,0,1,
Pipil,"4.1.1. Word order conclusions. To summarize and complete the
picture, Pipil has the word orders:
 (1)i.v.-S (basic)
 (2)t.v.-O-S (basic)
 (3)V-S-0 (with ""heavy"" objects;object emphasis)
 (4)S—V—0 (subject emphasis)
 (5) t.v.-S (variant of (2), with object pronominal prefix)
 (6)V-0 (variant of ( 2 ) , with subject pronominal prefix)
 (7)Pron.S-V(-O) (basic when subject is an independent
pronoun)
 (8) S-0-Complement (basic; subject may be a noun or
independent pronoun, complement may be noun or
adjective)
 (9) Noun Phrase (NP): (Dem)(Adj.)N (Dem = demonstrative)
(for examples, cf. chapter 7, texts)
 (10) Verb Phrase (VP): (Adv.) i . v . / t . v . (Adv)(0).
",,No dominant order,,,0,1,
Pipil,"48
 3.1.3.5. -ka 48
 3.1.3.6. -ni 49
 3.1.3.7. -s (-lis» -wis, -was)49
3.1.3.8. -tsin 49
3.1.3.9. -pil50
3.1.3.10. -JMpassive nominalization ,50
 3.1.4. •Plural'51
3.2. Pronouns53
 3.2.1. Independent pronouns53
 3.2.2. Pronominal subject affixes54
3.2.2.1. Pronominal copula55
 3.2.3. Pronominal object prefixes55
 3.2.4. Possessive pronominal prefixes56
 3.2.5. Indefinite pronouns 56
3.3. Articles and demonstratives56
 3.3.1. Articles56
 3.3.2. Demonstrative pronouns and adjectives 56
 3.3.3. Demonstrative adverbs 57
3.4. Quantifiers58
 3.4.1. Numerals58
3.5. Locatives59
 3.5.1. Independent prepositions59
 3.5.2. Relational nouns59
 3.5.3. Frozen locatives60
3.6. Adjectives 61
 3.6.1. -k, -ti-k 61
 3.6.2. -nah62
 3.6.3. -a:wa-k/ -ak62
 3.6.4. -tuk63
 3.6.5. Other adjectives63
 3.6.6. Adjective plurals 64
3.7. Verbs65
 3.7.1. The order of verbal affixes 65
 3.7.2. Tense and aspect65
3.7.2.1. 'Present*65
3.7.2.2. 'Preterite' (simplepast) 66
3.7.2.3. 'Perfect'66
3.7.2.4. 'Conditional'67
3.7.2.4.1. 'Perfect conditionals' 68
3.7.2.5. 'Future' 68
3.7.2.6. 'Desiderative' 69
3.7.2.7. 'Imperfect'69
3.7.2.7.1. -tu-ya 'past perfect'70
 3.7.3. Verb classes70
3.7.3.1. Class I ((C)VCV) verbs 70
3.7.3.2. Class II verbs ((QVCCV, (QVka, (C)VCu) 71
3.7.3.3. Class III (-ia,-ua)72
3.7.3.4. Class IV (-CVh alternating with -CVh) 74
 3.7.4. Pronominal affixes with verbs74
3.7.4.1. 'Reflexive* (mu-) 75
3.7.4.2. ta- 'unspecified object'77
 3.7.4.2.1. Non-productive and special ta- forms 78
 3.7.4.2.2. Reduplication of ta- 78
 3.7.4.2.3. ta-with nouns derived from transitive verbs79
 3.7.4.2.4. Adjectives with ta-79
3.7.4.3. te:- 'someone*79
 3.7.5. Reduplication in verbs 80
 3.7.6. Other verb prefixes81
3.7.6.1. (w)al- 'directional*81
3.7.6.2. -el- 'mentation/inside* 82
3.7.6.3. -ah- 'buccal* 82
3.7.6.4. -ih- 'superficial*83
 3.7.7. Order of verb prefixes when (w)al- or -el- is present 83
 3.7.8. Verb moods and voices84
3.7.8.1. 'Imperative'/'Optative'/'Subjunctive' 84
3.7.8.2. 'Causatives'85
3.7.8.3. 'Inchoatives' 86
3.7.8.3.1. 'Inchoatives'with-ua/-wi/-wa86
3.7.8.3.2. 'Inchoatives' of ""perception"" or ""sensation"" (-ya)88
3.7.8.3.3. ^_""to become"" 89
3.7.8.4. 'Passives' (-1, -lu, -lw, and -ua) 89
3.7.8.5. 'Applicatives'90
3.7.8.6. 'Diffusion' 91
3.7.8.7. 'Repetitives' of 'diffusion' verbs (-ka 'intransitives',
 -tsa 'transitives'92
 3.7.9. Verb stems 93
3.7.9.1. Suppletion93
3.7.9.2. Reduplication 95
 3.7.10. Incorporation 95
3.7.10.1. Adjective incorporation95
3.7.10.2. Instrumental noun incorporation96
3.7.10.3. Object incorporation 97
Chapter 4
Syntax101
4.0. Introduction 101
4.1. Word order 101
 4.1.1. Word order conclusions109
 4.1.2. Pronominal indirect objects 109
4.2. ""to be"" 110
4.2.1. Pronominal copula 110
4.2.2. 0-copulaIll
4.2.3. Locative nemiIll
4.2.4. 'Existential* nemi Ill
4.2.5. Other ""tobe"" cases112
 4.2.5.1. Emphatic states112
 4.2.5.2. ""To be"" questions112
 4.2.5.3. Irregular ""to be"" forms113
4.3. Non-distinct arguments113
4.4. Questions 114
4.4.1. Yes-no questions114
4.4.2. Wh-questions114
4.5. Imperatives 115
4.5.1. Imperative and hortatory sentences115
4.5.2. Negative imperatives116
4.6. Possession117
4.6.1. Pronominal possession 117
4.6.2. Nominal possession117
4.6.3. pal periphrastic possession 118
4.6.4. piya ""to have""118
4.6.5. Possessive'relational noun' 119
4.7. Locatives (see 3.5) 120
4.8. Demonstratives (see 3.3)120
4.9. Adjective in larger constructions 120
4.10. Comparatives 121
4.11. Coordination 121
4.11.1. Wan ""and""121
4.11.2. Pero, pe:ro123
4.11.3. Ni, ni ke ""(neither) nor""; mas bien ""rather"" 124
4.11.4. Sino ""but (not)"" 124
4.11.5. Ma ""but"" 125
4.11.6. Gapping125
4.12. Complement clauses 125
4.12.1. ka(h)125
4.12.2. Tay/ta:127
4.12.3. 0127
4.13. Cleft sentences127
4.14. Relative clauses 128
4.14.1. Relativized subjects 129
4.14.2. Relativized objects129
4.15. Adverbial clauses130
4.15.1. Locative clauses 130
4.15.2. Time clauses 131
 4.15.3. Manner clauses132
 4.15.4. Reason clauses132
 4.15.5. Purpose clauses (pal) 134
4.16. Conditional sentences135
4.17. Auxiliaries136
 4.17.1. Nemi * progressive*136
 4.17.2. Yaw['periphrastic future' 137
 4.17.3. Yawi ""to go"" auxiliary138
 4.17.4. weli ""to be able, can""139
 4.17.5. pe:wa ""to begin, start"" 139
4.18. Complex verb phrases 140
 4.18.1. Wi:ts + verb141
 4.18.2. Ki:sa + verb141
 4.18.3. -neki + verb141
 4.18.4. Other verb + verb forms (Equi-NP Delition)142
4.19. -chiwa + Spanish infinitive143
Chapter 5
Pipil-Spanish-English Dictionary 145
5.0. Introduction145
Chapter 6
Spanish-Pipil Dictionary595
6.0. Introduction 595
Chapter 7
Texts 866
7.0. Introduction 866
Los Huracaneros (H) 867
 The Hurricaners (English version)871
El Arco (A) 873
 The Arch (English version) 876
La Siguanaba (S)878
 The Siguanaba (English version)883
El Sipitillo (Sip)885
 The Sipitillo (English version)886
Historia de un Rey (R)887
 The Story of a King (English version)892
El Nanahuatzin (N)894
 The Nanahuatzin (English version)907
Appendix 1 Pipil and Other Varieties of Nahua 911
Appendix 2 Varieties of Nahua in Guatemala936
Bibliography943
 Chapter 1
 Introduction
()• Introduction
The native language of western El Salvador, the subject of this
book, is known in the linguistic literature as Pipil, although its
speakers call it na:wat in the language itself and Nahuate in
Spanish, Here it is called Pipil because this usage is so strongly
entrenched in the scientific literature that it could not easily be
changed. Nevertheless, it is to be hoped that Naswat (Nahuate) may
gain more general acceptance in honor of and in deference to its
speakers.",,No dominant order,,,0,1,
Finnish,"Generated by Foxit PDF Creator © Foxit Software
http://www.foxitsoftware.com For evaluation only.
",0,SVO,"Based solely on the given paragraph, it is ""not enough information"" to determine the dominant word order of the language described in the grammar. This paragraph contains only a string of words which are not forming a sentence or a phrase, and therefore it cannot reflect the word order of the language being described.",Not enough information,0,0,gibberish
Finnish,"Generated by Foxit PDF Creator © Foxit Software
http://www.foxitsoftware.com For evaluation only.
",0,SVO,"Based solely on the given paragraph, it is ""not enough information"" to determine the dominant word order of the language described in the grammar. This paragraph contains only a string of words which are not forming a sentence or a phrase, and therefore it cannot reflect the word order of the language being described.",Not enough information,0,0,gibberish
Finnish,"Generated by Foxit PDF Creator © Foxit Software
http://www.foxitsoftware.com For evaluation only.
",0,SVO,"Based solely on the given paragraph, it is ""not enough information"" to determine the dominant word order of the language described in the grammar. This paragraph contains only a string of words which are not forming a sentence or a phrase, and therefore it cannot reflect the word order of the language being described.",Not enough information,0,0,gibberish
Finnish,"Generated by Foxit PDF Creator © Foxit Software
http://www.foxitsoftware.com For evaluation only.
",0,SVO,"Based solely on the given paragraph, it is ""not enough information"" to determine the dominant word order of the language described in the grammar. This paragraph contains only a string of words which are not forming a sentence or a phrase, and therefore it cannot reflect the word order of the language being described.",Not enough information,0,0,gibberish
Finnish,"Generated by Foxit PDF Creator © Foxit Software
http://www.foxitsoftware.com For evaluation only.
",0,SVO,"Based solely on the given paragraph, it is ""not enough information"" to determine the dominant word order of the language described in the grammar. This paragraph contains only a string of words which are not forming a sentence or a phrase, and therefore it cannot reflect the word order of the language being described.",Not enough information,0,0,gibberish
Usarufa,"The order of application
between types of rules is usually more important than the order of
rules within any one type.",0,SOV,"Based on the given paragraph, there is not enough information to determine the dominant word order of the language described in the grammar. The paragraph is discussing the order of rules within types of rules, rather than discussing the order of words in a sentence.",Not enough information,0,0,порядок правил
Usarufa,"The order
of application in noun constructions is much less important than in
 verb constructions.
",0,SOV,"Based on the given information, we can't determine the dominant word order of the language described in the grammar. Therefore, the correct option is ""Not enough information"".",Not enough information,0,0,порядок правил
Usarufa," Non-predicate tagmemes except the topic tagmeme are not
 restricted in their order with reference to one another.",0,SOV,"Based on the information provided in the paragraph, it is not possible to determine the dominant word order of the language described in the grammar. Therefore, the answer is ""Not enough information"".",Not enough information,0,0,упоминание порядка слов
Usarufa," In some instances the order of applica­
tion will not make a significant difference in the results.",0,SOV,"Based on the given paragraph from the descriptive grammar, we do not have enough information to determine the dominant word order of the language being described. Therefore, the correct option is ""Not enough information"".",Not enough information,0,0,порядок правил
Usarufa,"The order in which the rules have been given is In general
the order in which they should be applied.",0,SOV,"Based solely on the given paragraph, it is not possible to determine the dominant word order of the language described in the grammar. Therefore, the correct answer is ""Not enough information"".",Not enough information,0,0,порядок правил
Amahuaca," Semantic and pragmatic functions are signaled by grammatical forms and by overt coding features,
such as word order, case marking, and cross referencing or agreement. The grammatical function of noun
phrases expresses or gives form to semantic and pragmatic functions. It reveals the relationships between
the different arguments.
",0,No dominant order,"Based on the given paragraph, we cannot determine the dominant word order of the language described in the grammar. Therefore, the correct answer is ""Not enough information"".",Not enough information,0,0,упоминание порядка слов
Amahuaca," After discussing GRs in different languages and contrasting them with Amahuaca, I shall turn to
constituent order, tense/aspect, pragmatic markings, and case in Amahuaca, in preparation for the
attempt to answer the following questions: what are some important SRs in the language, how do they
relate to the GRs, and what is their conceptual make-up? Besides using individual examples for
illustrations, I shall analyze a short text and assign and comment on the SRs highlighting the SR of
Referent, which appears particularly interesting in the language.
3.1 Grammatical relations
Since English lacks explicit case markings, it is the constituent order that guides us in discovering
subject, object, and other functions of a phrase or sentence.
(56) a.",0,No dominant order,"Based on the paragraph presented, there is not enough information to determine the dominant word order of the language described in the grammar. The paragraph focuses on discussing GRs (Grammatical Relations) and other language features in preparation to analyze the SRs (Semantic Roles) of a particular language, without mentioning its word order.",Not enough information,0,0,упоминание порядка слов
Amahuaca," Es ist der Kater, der entwischteSV
 In German, word order is important only to a certain degree. It is mainly case marking that is
decisive in determining SUBJ and DO. Like in Spanish, the SUBJ is in the NOM and the DO in the ACC.
The basic word order is the same as in English and Spanish, namely SVO/SV. Differences occur in (c) and
the examples (d1, d2) where we have marked prominence and the constituent order changes to SOV,
OSV, and OVS respectively. In (d1) the SUBJ prominence is clearly marked, and in (d2) the sentence
initial DO cannot be confused with the SUBJ due to the ACC case which reflects the DO function. One
difficulty one faces in German, is that different cases on occasion are homophonous. Therefore I chose
der Kater ‘the male cat’ rather than die Katze ‘the female cat’ which is the generic term for ‘cat’ in
German. Like in English and Spanish, so in German tense/aspect do not affect the constituent order or
the case marking.
",0,No dominant order,,,0,1,
Amahuaca,"Again following the general trend, Amahuaca is best classified as an SOV language (Wise 1979), but
not in an exclusive sense. Whereas dependent clauses (particularly clauses in a chain with IR-
morphology) strongly prefer SOV/SV word order, independent clauses and sentences display more
freedom. Their word order depends on verbal aspect4 and pragmatic considerations (which in the context
of this paper means that a sentence constituent or a clause is considered prominent). While independent
sentences in unmarked aspect have SOV/SV word order (e.g. 1 below), those in marked aspect display
OVS/VS word order (e.g. 2 below). Other orders (OVS/VS in unmarked aspect and SOV/SV in marked
aspect) are clearly pragmatically marked (e.g. 3a, 3b below).
1.1 The case-marking system
The case-marking system is basically tripartite with ergative, absolutive, and nominative cases (Table
1.1). 5 In pragmatically neutral independent clauses, split ergativity is governed by verbal aspect.
(1) Unmarked aspect, transitive and intransitive verb.
a.",1,No dominant order,"According to the paragraph, the language described in the grammar has a dominant SOV word order.",SOV,1,0,
Amahuaca," SV
 Generally the subject (SUBJ) is sentence-initial, be it pragmatically marked or not. It precedes the
verb and the direct object (DO) (if the verb is TR). Only in (56d) the DO precedes the SUBJ due to the
fact that it is pragmatically marked and the verb is sentence-final. It can be said then that in English the
31
 32
prominent constituent, the SUBJ, is sentenc-initial and the basic word order in active voice is SVO/SV.
Tense/aspect do not influence constituent order.
",,No dominant order,,,0,1,
Pilagá," It has been argued that the basic word order is AVO/SV in Toba (Messineo, pc.)
and in Mocovi (Gualdieri 1998, Grondona 1998), and I state that the same holds for
Pilaga- For Kadiwk however, Sandal0 (1995) states that word order is free, and the
object or the subject NP can come in any position with respect to the verb. But since
most, if not all, Guaykuruan languages belong to the pronominal argument type (i.e.,
subject and object firactions are not distinctively encoded by phrase structure), word
order variation is not unexpected. What strikes oae as coommon to all the descriptions of
Southern Guaylatruan languages elaborated so far is that the position of the NP sqbject
presents more variation than the position of the NP object. It is, therefore, possible that
what have been considered ""subject"" NPs in the analysis of word order pattans are, in
fact, adjuncts, and for that reason occurrence of a lexical NP coreferential with the
subject is neither obligatory nor is its position within the clause hed. Synchronically
Pilaga and Toba belong to the Verb-initial type, and probably Mocovi too, suggesting the
existence of a synctacticized pattern at least for the languages of the Southern
Guaykunran branch. There are some traces in the grammar of Toba and Pilaga that
suggest that at least some languages ofthe Southern Guaykuruan branch could have been
OV (or Dependent-Head) in their origins, evolving towards a verb-intial type in a later
stage.
",1,SVO,"The provided paragraph gives information about the word order in different languages belonging to the Southern Guaykuruan branch, but it does not provide a definitive answer as to the dominant word order of the language described in the grammar. Therefore, the answer is ""Not enough information."".",Not enough information,1,0,
Pilagá,"9.2.3 Word Order
 As noted in 9.1, Pilaga exhibits two basic constituent orders in declarative
sentences: transitive (A)VO and intransitive VS. Some variation on these dominant
patterns is possible, as will become clear from the discussion found in this section-
 In 9.1, we saw possible variation in the order of noun phrases when the verb
governs two objects (ditransitives will be -ertreated in 9.2). In this section, however,
I will concentrate on word order in intransitive and transitive clauses, that is the
discussion is restricted to clauses with one core-argument and with two core-arguments.
",1,SVO,"Based on the given paragraph, the language described in the grammar has two dominant constituent orders: the transitive (A)VO order and the intransitive VS order. Therefore, the answer is ""No dominant order"" since there are two dominant word orders.",No dominant order,1,0,
Pilagá," Three aspects of the overt coding system of 'subject*and 'object' in P i l e will be
considered here: (a) case-marking; @) number agreement; and (c) word-order. The first
two were extensively treated in Chapter V, though for completeness, 1 will briefly rewiew
them here, and then will discuss word order in more detail,
 9.2.I Pronominal Case Marking
The grammar of Pilagh makes a morphosyntactic distinction between 'subject' and
'object' through case-marking in bound pronominal prefixes.
",0,SVO,"Based on the given paragraph, there is not enough information to determine the dominant word order of the language described in the grammar.",Not enough information,0,0,упоминание порядка слов
Pilagá," Texts performed by tradiional speakers do show cases of SV arrangement. This is
illustrated in ( 14 H15). (14) comes 60m a mmtive about the ""Origin of Women"",told
by Alberto NavamteAt the point of clause (14), he describes how the
guard of the camp, the mythical bird Wole, calls the fishamen back to the camp to see
the women, w h o had just fallen 60omsky into earth The intransitive verb ~aEawo
describes the motionaun trajectory of the men (so' sivadipi).
hanaE'e so' siyamdipi yaa-WOhokal'i qo-ya-Ca-WO so' l-imhqa
and CL people d 3 - m o v e - D I R then IS-setA3-move-DIR CL Poss3-camp
 'And the people came; then they came t o their camp.'
 Instances of postverbal lexical subjects in transitive clauses (i.e.,VA) are very rare,
though possible. In (1 5 ) so' npotanek 'the guard' occurs &er the transitive verb.
asnak hokal'i so' npotanek ""am'i y-aqayaaw-seda-iiiho' ""
setA.3-say then CL guard2PL Poss.l-brother setAZ-cawe,write-DIR dem
'The guard said ""You,my brothers, dig there.""
 Therefore, according to ( 14) and (1 5), AV and VA for transitive clauses, but also
VS and SV with intransitives, are possible for the position of the lexical NP subject. One
interpretation of these distribution Gets is that, since the lexical expression of the subject
is not obligatory (except when a participant is introduced for the first time in the
discourse), the noun phrase explicitly mentioning the subject must have the status of an
adjunct, instead of being truly m e n t a l , and this is the reason why it does not have a
rigid position within the clause. Any possible effkct of intonation and pauses on word
order variability needs to be investigated on the basis of texts; it might be the case that
adjoined phrases do not form a phonological unit with the rest of the predicate, but are
phrased separately fiom the rest of the clause
 Up to this point, I have argued that the dominant constituent orders are VS for
intransitives and (A)VO (or VO) for transitive clauses;but also that in the m t i v e s by
older speakers there are instances of SV and VA order. I have found that word order
variabilility correlates with a generational difference, but this correlation needs to be
explored in more depth. In oral and written texb by younger speakers, the correlation
with the AVONS amgement is very strong. Setting written texts aside, which are
obviously more planned and lack the intonationaljunctures and pauses typical of an oral
performance, I compared the information provided by older speakers with the oral
narratives produced by younger speakers. With a very high consistency, subject and
object noun phrases follow the basic (A)VONS patterns in the narratives of younger
Pilaga speakers, while those provided by older traditional speakers show the word order
variants described above.
",1,SVO,"The given descriptive grammar does not indicate a dominant word order for the language in question, so the correct answer is ""No dominant order"".",No dominant order,1,0,
